id.state,state,turnout.12,turnout.12.2,skew.turnout.12,kurt.turnout.12,bendford.turnout.12,unimodal.turnout.12,votepri.12,votepri.12.2,skew.pri.12,kurt.pri.12,bendford.pri.12,Unimodalpri.12,gdp.12,gdp.mdp.12,populaition.12,gdp.capi.12,gdp.capi.12.2,gini.12,Rozenas.2.12,popularitypri.12,popularitypri.12.2,turnout.18,turnout.18.2,skew.turnout.18,kurt.turnout.18,bendford.turnout.18,unimodal.turnout.18,votemorena.18,votemorena.18.2,skew.morena.18,kurt.morena.18,bendford.morena.18,rozenas.2.18,Unimodalmorena.18,,gdp.18,gdp.mdp.18,populaition.18,gdp.capi.18,gdp.capi.18.2,gini.18,popularitymorena.18,popularitymorena.18.2
21,Puebla,62.90648536,0.629064854,1,1,1,0,855818,85.5818,1,1,1,1,5.24E+11,524226.058,6002161.489,87339.54576,8.733954576,0.485,0.1108537,32.5,0.325,68.5146,0.685146,1,1,1,0,1754596,175.4596,1,1,1,0,0,,6.40E+11,640323.7842,6371380.815,100500.0019,10.05000019,0.48,20,0.2
22,Quer‚taro,66.4510781,0.664510781,1,1,1,0,331953,33.1953,1,1,1,0,3.18E+11,318294.372,1912802.687,166402.0938,16.64020938,0.503,0,55,0.55,63.35764,0.6335764,1,1,1,0,424162,42.4162,1,1,1,0,0,,4.43E+11,443117.1369,2091823.169,211832.9806,21.18329806,0.435,30,0.3
23,Quintana Roo,57.48333129,0.574833313,1,1,1,0,179283,17.9283,1,1,1,0,2.16E+11,215709.871,1440114.836,149786.5765,14.97865765,0.477,0.5442238,20,0.2,59.4878,0.594878,1,1,1,0,488434,48.8434,0,1,1,0,0,,3.06E+11,305848.0826,1709478.7,178913.0701,17.89130701,0.45,30,0.3
24,San Luis Potos¡,63.29137982,0.632913798,1,1,1,0,431402,43.1402,1,1,1,0,2.97E+11,297293.962,2675310.679,111125.0235,11.11250235,0.492,0.3533413,47.05882353,0.470588235,63.03266,0.6303266,0,1,1,0,527546,52.7546,1,1,1,0,0,,4.08E+11,407759.3743,2824975.983,144340.8286,14.43408286,0.428,50,0.5
25,Sinaloa,61.18510143,0.611851014,1,1,1,0,552259,55.2259,1,1,1,0,3.30E+11,330191.387,2905749.906,113633.7943,11.36337943,0.466,0,48.27586207,0.482758621,59.95566,0.5995566,1,1,1,0,834001,83.4001,1,1,1,0,0,,4.36E+11,436246.5083,3059321.663,142595.8289,14.25958289,0.498,30,0.3
26,Sonora,58.08290394,0.580829039,1,1,1,0,435925,43.5925,1,1,1,0,4.96E+11,495926.031,2809806.338,176498.2961,17.64982961,0.477,0.03050641,38.23529412,0.382352941,51.7972,0.517972,1,1,1,0,651806,65.1806,1,1,1,0.2302481,0,,6.60E+11,659565.1827,3050472.709,216217.3688,21.62173688,0.459,40,0.4
27,Tabasco,70.50222977,0.705022298,1,1,1,0,346552,34.6552,1,1,1,0,5.64E+11,564003.811,2309070.952,244255.73,24.425573,0.516,0,22.22222222,0.222222222,70.31297,0.7031297,1,1,1,0,961710,96.171,1,1,1,0.1001038,0,,4.47E+11,447133.5944,2454294.55,182184.1614,18.21841614,0.474,40,0.4
28,Tamaulipas,58.20043485,0.582004349,1,1,1,0,494397,49.4397,1,1,1,1,4.66E+11,466371.322,3419338.211,136392.2763,13.63922763,0.466,0.1274555,33.33333333,0.333333333,61.46257,0.6146257,1,1,1,0,786210,78.621,1,1,1,0.218342,0,,5.64E+11,563722.0365,3661161.749,153973.5404,15.39735404,0.378,30,0.3
29,Tlaxcala,63.75593381,0.637559338,1,1,1,0,184908,18.4908,1,1,1,0,89918601000,89918.601,1224636.987,73424.69806,7.342469806,0.42,0,33.33333333,0.333333333,66.01103,0.6601103,1,1,1,0,433127,43.3127,1,1,1,0.5806937,0,,1.11E+11,111213.6256,1330142.581,83610.30406,8.361030406,0.489,30,0.3
30,Veracruz,66.40683979,0.664068398,1,1,1,0,1203168,120.3168,1,1,1,1,7.80E+11,779730.434,7858603.873,99219.96918,9.921996918,0.493,0.04690597,34.28571429,0.342857143,65.25152,0.6525152,1,1,1,0,2059209,205.9209,1,1,1,0,0,,8.95E+11,895355.6953,8220321.859,108919.7857,10.89197857,0.452,25,0.25
31,Yucat n,77.16324586,0.771632459,0,1,1,0,441580,44.158,1,1,1,0,2.15E+11,214700.599,2036694.282,105416.2134,10.54162134,0.461,0,50,0.5,75.16886,0.7516886,1,1,1,0,455216,45.5216,1,1,1,0,0,,2.82E+11,282497.2437,2199617.601,128430.1615,12.84301615,0.491,30,0.3
32,Zacatecas,60.62387775,0.606238778,1,1,1,0,338808,33.8808,1,0,1,0,1.49E+11,148728.64,1536673.876,96786.07953,9.678607953,0.526,0.5743528,47.36842105,0.473684211,64.46259,0.6446259,1,1,1,0,366371,36.6371,1,1,1,0.35006,1,,1.86E+11,186216.4715,1612014.214,115517.8843,11.55178843,0.498,34.47014209,0.344701421
